,index,question,answer,category,l2_category,meta_info,pid,output,extracted_choice,correct,model,condition,meta_model,question_id,﻿question_num,qid,confidence,time_spent_seconds,answer_timestamp,participant_id,answer_type,answer_raw,answer_normalized,human_qid,original_question
160,528,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct.",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/528.jpg'}",528.0,"B: Is also known as laughing gas,",,0,Humans,,,528,7,598,0.75,14.81,2025-12-09T12:12:07.989965,9c5d09f3_20251209_121033,choice,4,D,598,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct."
161,528,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct.",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/528.jpg'}",528.0,"B: Is also known as laughing gas,",,0,Humans,,,528,7,598,0.5,6.77,2025-12-10T19:24:17.387675,825ff3e9_20251210_192335,choice,4,D,598,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct."
162,528,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct.",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/528.jpg'}",528.0,"B: Is also known as laughing gas,",,0,Humans,,,528,7,598,0.25,10.29,2025-12-11T23:30:24.518538,a5909497_20251211_232822,choice,4,D,598,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct."
163,528,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct.",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/528.jpg'}",528.0,"B: Is also known as laughing gas,",,0,Humans,,,528,7,598,0.75,17.88,2025-11-27T19:41:24.687781,b9b2cb98_20251127_193952,choice,4,D,598,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct."
164,528,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct.",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/528.jpg'}",528.0,"B: Is also known as laughing gas,",,0,Humans,,,528,7,598,0.75,9.06,2025-11-28T22:27:25.594015,dd0f9986_20251128_222537,choice,4,D,598,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct."
165,528,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct.",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/528.jpg'}",528.0,"B: Is also known as laughing gas,",,100,Humans,,,528,7,598,0.5,30.75,2025-12-03T21:24:43.602430,f616d5c7_20251203_212223,choice,2,B,598,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct."
166,528,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct.",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/528.jpg'}",528.0,"B: Is also known as laughing gas,",,0,Humans,,,528,7,598,0.75,8.45,2025-11-25T20:26:02.004371,d1548553_20251125_202324,choice,4,D,598,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct."
167,528,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct.",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/528.jpg'}",528.0,"B: Is also known as laughing gas,",,0,Humans,,,528,7,598,0.5,30.98,2025-12-05T14:17:23.156594,2e184452_20251205_141511_cleaned,choice,3,C,598,"The object shown in this figure:
Options: A: Is a colorless gas with a slightly sweet odor, B: Is also known as laughing gas, C: Has a boiling point of -88.5°C, D: None of these options are correct."
168,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.25,4.59,2025-11-24T13:39:11.934629,0756a860_20251124_133827,choice,2,B,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
169,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.75,4.5,2025-12-10T23:04:54.790128,02f952bb_20251210_230336,choice,2,B,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
170,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.05,34.79,2025-12-08T15:05:07.895853,14d2420f_20251208_150302,choice,2,B,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
172,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,1.0,20.89,2025-12-02T10:03:24.714758,29127478_20251202_100107,choice,4,D,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
173,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.75,13.23,2025-11-26T08:43:33.709036,218b2db5_20251126_084136,choice,2,B,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
174,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.5,56.0,2025-11-26T14:10:42.421477,3238ebaf_20251126_140604,choice,2,B,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
175,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,100,Humans,,,45,8,70,1.0,17.29,2025-12-05T22:54:04.905905,3a36e078_20251205_225238,choice,3,C,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
176,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.05,6.29,2025-11-27T14:21:07.317084,5d843d39_20251127_141921,choice,2,B,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
177,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.5,29.79,2025-12-10T17:02:40.480899,60de6bd6_20251210_170035,choice,1,A,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
178,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.25,12.42,2025-11-25T13:57:00.729701,6b3a1a8d_20251125_135446,choice,2,B,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
179,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,100,Humans,,,45,8,70,0.25,14.26,2025-12-04T21:08:33.118912,73df43f3_20251204_210431,choice,3,C,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
180,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.25,2.87,2025-12-13T13:41:23.870663,74d408e5_20251213_134035,choice,1,A,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
181,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.05,15.78,2025-12-09T12:12:24.661362,9c5d09f3_20251209_121033,choice,2,B,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
182,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.75,6.61,2025-12-10T19:24:24.292328,825ff3e9_20251210_192335,choice,4,D,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
183,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.5,9.78,2025-12-11T23:30:35.190716,a5909497_20251211_232822,choice,1,A,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
184,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.5,12.18,2025-11-27T19:41:37.082086,b9b2cb98_20251127_193952,choice,2,B,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
185,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,100,Humans,,,45,8,70,0.75,9.63,2025-11-28T22:27:35.409765,dd0f9986_20251128_222537,choice,3,C,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
186,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.75,22.01,2025-12-03T21:25:05.886439,f616d5c7_20251203_212223,choice,1,A,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
187,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,0,Humans,,,45,8,70,0.5,8.04,2025-11-25T20:26:10.232801,d1548553_20251125_202324,choice,2,B,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
188,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45.0,D,,100,Humans,,,45,8,70,0.5,13.86,2025-12-05T14:17:37.235051,2e184452_20251205_141511_cleaned,choice,3,C,68,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people"
189,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.25,3.79,2025-11-24T13:39:15.911046,0756a860_20251124_133827,choice,3,C,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
190,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.5,4.62,2025-12-10T23:04:59.599706,02f952bb_20251210_230336,choice,3,C,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
191,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.05,5.65,2025-12-08T15:05:13.779556,14d2420f_20251208_150302,choice,1,A,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
193,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.75,8.63,2025-12-02T10:03:33.661228,29127478_20251202_100107,choice,1,A,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
194,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.75,6.86,2025-11-26T08:43:40.747207,218b2db5_20251126_084136,choice,3,C,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
195,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,100,Humans,,,111,9,97,0.25,20.96,2025-11-26T14:11:03.547328,3238ebaf_20251126_140604,choice,2,B,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
196,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,1.0,4.93,2025-12-05T22:54:10.118235,3a36e078_20251205_225238,choice,1,A,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
197,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,100,Humans,,,111,9,97,0.05,4.42,2025-11-27T14:21:12.848388,5d843d39_20251127_141921,choice,2,B,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
198,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.25,8.08,2025-12-10T17:02:48.762672,60de6bd6_20251210_170035,choice,3,C,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
199,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.05,6.21,2025-11-25T13:57:07.123434,6b3a1a8d_20251125_135446,choice,4,D,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
200,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.25,13.62,2025-12-04T21:08:47.077420,73df43f3_20251204_210431,choice,4,D,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
201,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.5,3.46,2025-12-13T13:41:27.678329,74d408e5_20251213_134035,choice,1,A,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
202,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.05,5.59,2025-12-09T12:12:31.227571,9c5d09f3_20251209_121033,choice,1,A,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
203,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.75,3.41,2025-12-10T19:24:28.014069,825ff3e9_20251210_192335,choice,3,C,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
204,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.25,4.02,2025-12-11T23:30:39.502541,a5909497_20251211_232822,choice,1,A,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
205,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.25,7.54,2025-11-27T19:41:45.042045,b9b2cb98_20251127_193952,choice,4,D,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
206,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,1.0,5.1,2025-11-28T22:27:40.692558,dd0f9986_20251128_222537,choice,1,A,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
207,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.25,11.73,2025-12-03T21:25:17.899798,f616d5c7_20251203_212223,choice,1,A,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
208,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.5,7.16,2025-11-25T20:26:17.594374,d1548553_20251125_202324,choice,3,C,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
209,111,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/111.jpg'}",111.0,B: Black,,0,Humans,,,111,9,97,0.5,11.38,2025-12-05T14:17:48.854529,2e184452_20251205_141511_cleaned,choice,1,A,97,"What is the predominant color of the image?
Options: A: Yellow, B: Black, C: White, D: Blue"
210,745,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/745.jpg'}",745.0,B: Not the same,,100,Humans,,,745,10,462,1.0,5.37,2025-11-24T13:39:21.499338,0756a860_20251124_133827,choice,2,B,462,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan"
211,745,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/745.jpg'}",745.0,B: Not the same,,100,Humans,,,745,10,462,1.0,13.97,2025-12-10T23:05:13.740188,02f952bb_20251210_230336,choice,2,B,462,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan"
212,745,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/745.jpg'}",745.0,B: Not the same,,0,Humans,,,745,10,462,0.5,15.13,2025-12-08T15:05:29.106256,14d2420f_20251208_150302,choice,1,A,462,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan"
214,745,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/745.jpg'}",745.0,B: Not the same,,0,Humans,,,745,10,462,1.0,10.0,2025-12-02T10:03:44.080571,29127478_20251202_100107,choice,4,D,462,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan"
215,745,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/745.jpg'}",745.0,B: Not the same,,0,Humans,,,745,10,462,1.0,8.88,2025-11-26T08:43:49.815144,218b2db5_20251126_084136,choice,3,C,462,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan"
216,745,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/745.jpg'}",745.0,B: Not the same,,0,Humans,,,745,10,462,0.5,15.78,2025-11-26T14:11:19.500572,3238ebaf_20251126_140604,choice,1,A,462,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan"
