,index,question,answer,category,l2_category,meta_info,pid,output,extracted_choice,correct,model,condition,Unnamed: 0,qid,answer_type,num_responses,answers,extracted_choices,confidences,mean_accuracy,std_accuracy,mean_confidence,std_confidence,accuracies,subject_agreements,agreement,human_qid,original_question
553,553,"What can Hazel and Xavier trade to each get what they want?
Options: A: Hazel can trade her tomatoes for Xavier's broccoli., B: Hazel can trade her tomatoes for Xavier's carrots., C: Xavier can trade his broccoli for Hazel's oranges., D: Xavier can trade his almonds for Hazel's tomatoes.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,cross-instance relation reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/553.jpg'}",553,a,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
559,559,"What is the relative position of the window to the shutters on the building in the image?
Options: A: The window is above the shutters, B: The window is on the same level as the shutters, C: The window is below the shutters, D: The window is to the left of the shutters
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/559.jpg'}",559,B,B,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
561,561,"What's the function of the demonstrated object?
Options: A: baking, B: heating, C: flavouring, D: Pick-up
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/561.jpg'}",561,b,B,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
563,563,"What can Rosa and Kylie trade to each get what they want?
Options: A: Kylie can trade her almonds for Rosa's tomatoes., B: Rosa can trade her tomatoes for Kylie's broccoli., C: Rosa can trade her tomatoes for Kylie's carrots., D: Kylie can trade her broccoli for Rosa's oranges.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance relation reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/563.jpg'}",563,a,A,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
568,568,"Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?
Options: A: sample A, B: neither; the samples have the same temperature, C: sample B, D: nan
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance relation reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/568.jpg'}",568,c,C,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
569,569,"How is the model's leg positioned in the image?
Options: A: Crossed, B: Straight, C: Raised, D: Bent
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,single-instance reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/569.jpg'}",569,c,C,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
571,571,"What direction is Syria in the Mediterranean Sea?
Options: A: east, B: south, C: west, D: north
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/571.jpg'}",571,c,C,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
574,574,"What is most prominent in the image?
Options: A: A building with a clock, B: A city skyline, C: A boat docked in the water., D: Water with boats and ships.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/574.jpg'}",574,B,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
576,576,"What is the relative position of the brown horse to the man in the image?
Options: A: The horse is behind the man, B: The horse is in front of the man, C: The horse is under the man, D: The horse is beside the man
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,instance reasoning,cross-instance attribute reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/576.jpg'}",576,b,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
580,580,"What is the relative position of the man holding a guitar and the woman on stage?
Options: A: The man is behind the woman, B: The man is to the right of the woman, C: The man is to the left of the woman, D: The man is in front of the woman
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/580.jpg'}",580,c,C,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
582,582,"What is the object that the man with the uniform is standing in front of?
Options: A: A flag, B: A table, C: A picture, D: A chair
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,single-instance reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/582.jpg'}",582,B,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
588,588,"Which is right?
Options: A: The orange is next to the apple, B: The apple is on the left, C: The orange is on the right, D: All above are not right
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/588.jpg'}",588,a,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
589,589,"Which property do these four objects have in common?
Options: A: sticky, B: hard, C: stretchy, D: nan
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,cross-instance relation reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/589.jpg'}",589,a,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
593,593,"What can be the relationship between the two persons in this image?
Options: A: Father and daughter, B: Mother and son, C: Brother and sister, D: Husband and wife
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,instance reasoning,cross-instance relation reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/593.jpg'}",593,c,C,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
597,597,"What is the relationship between the people in the image?
Options: A: commercial, B: professional, C: friends, D: family
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,instance reasoning,cross-instance relation reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/597.jpg'}",597,C,C,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
598,598,"Where is the lamp in the living room?
Options: A: On the coffee table, B: On the windowsill, C: On the end table, D: On the floor
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/598.jpg'}",598,A,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
599,599,"Which two objects are closest to each other?
Options: A: Soccer player and football team, B: Soccer player and coach, C: Football player and politician, D: Football player and coach
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/599.jpg'}",599,D,D,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
614,614,"Where is the rug in the living room located?
Options: A: Next to the door, B: Under the table, C: In front of the window, D: Under the couch
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,single-instance reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/614.jpg'}",614,c,C,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
617,617,"What is the most curved beak species?
Options: A: iiki, B: swallow-tanager, C: cliff swallow, D: hawfinch
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,cross-instance relation reasoning,"{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/617.jpg'}",617,a,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
618,618,"Where is the woman's blue bag located in the image?
Options: A: In her hand, B: On her shoulder, C: On the ground, D: Inside the man's bag
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,single-instance reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/618.jpg'}",618,B,B,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
623,623,"Which property do these four objects have in common?
Options: A: fragile, B: transparent, C: opaque, D: nan
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,cross-instance relation reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/623.jpg'}",623,b,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
637,637,"Where is the top of the purple bottle in relation to the man with the guitar?
Options: A: Beside him, B: Above him, C: Below him, D: On his head
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,cross-instance attribute reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/637.jpg'}",637,a,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
643,643,"Where is the man playing the guitar located on the stage?
Options: A: Left side of the stage, B: Middle of the stage, C: Right side of the stage, D: Behind the microphones
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,single-instance reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/643.jpg'}",643,B,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
652,652,"What is the position of the white couch relative to the glass coffee table?
Options: A: The couch is in front of the coffee table, B: The couch is to the right of the coffee table, C: The couch is to the left of the coffee table, D: The couch is behind the coffee table
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,cross-instance attribute reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/652.jpg'}",652,A,A,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
667,667,"What is the position of the glass of juice relative to the tangerines?
Options: A: Next to the tangerines, B: Between the tangerines, C: Behind the tangerines, D: Cannot tell
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/667.jpg'}",667,a,A,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
681,681,"What is the relative position of the man and woman in the image?
Options: A: They are facing each other, B: They are both facing forward, C: They are both facing the camera, D: They are both looking away from the camera
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,cross-instance attribute reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/681.jpg'}",681,A,A,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
684,684,"What's the profession of the people in this picture?
Options: A: mason, B: plumber, C: pilot, D: police
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/684.jpg'}",684,B,B,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
685,685,"What's the function of the demonstrated object?
Options: A: Separatist, B: Clamping, C: drill, D: incise
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/685.jpg'}",685,B,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
696,696,"What's the function of the demonstrated object?
Options: A: excavate, B: transport, C: weld, D: Measure the level
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/696.jpg'}",696,A,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
698,698,"What's the function of the demonstrated object?
Options: A: clean, B: measurement, C: Bulldozing, D: Cutting platform
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/698.jpg'}",698,D,D,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
699,699,"What's the function of the demonstrated object?
Options: A: increase passenger capacity and reduce traffic congestion, B: a sanitary facility used for excretion, C: used as decorations., D: watch TV shows
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/699.jpg'}",699,A,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
700,700,"What's the function of the demonstrated object?
Options: A: prepare food and cook meals, B: sleep, C: a sanitary facility used for excretion, D: Play basketball
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/700.jpg'}",700,b,B,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
703,703,"What's the function of the demonstrated object?
Options: A: display information in pictorial or textual form, B: project images or videos onto a larger surface, C: watch TV shows, D: display digital photos in a slideshow format.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/703.jpg'}",703,A,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
713,713,"What's the profession of the people in this picture?
Options: A: magician, B: financial analyst, C: florist, D: lawyer
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/713.jpg'}",713,A,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
715,715,"What's the profession of the people in this picture?
Options: A: photographer, B: chemist, C: repairman, D: pianist
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/715.jpg'}",715,C,C,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
716,716,"What's the profession of the people in this picture?
Options: A: mason, B: nurse, C: pilot, D: policeman
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/716.jpg'}",716,D,D,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
717,717,"What's the profession of the people in this picture?
Options: A: mason, B: postman, C: pilot, D: policeman
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/717.jpg'}",717,B,B,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
719,719,"What's the profession of the people in this picture?
Options: A: astronaut, B: chemist, C: musician, D: pianist
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/719.jpg'}",719,a,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
730,730,"Which special day is associated with this poster?
Options: A: Earth Day., B: Children's Day., C: Father's Day., D: Mother's Day
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/730.jpg'}",730,b,B,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
731,731,"What is the relationship between the people in the image?
Options: A: friends, B: family, C: commercial, D: professional
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/731.jpg'}",731,a,A,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
737,737,"Based on the image, what is the significance of having two cakes on the table during the couple's celebration with their baby?
Options: A: Having two cakes allows for different cake flavors or designs for their guests., B: Having two cakes signifies that the couple is celebrating multiple occasions or milestones., C: Having two cakes indicates a preference for abundance and excess., D: Having two cakes is a common practice in most celebrations of this nature.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance relation reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/737.jpg'}",737,D,D,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
741,741,"Which property do these three objects have in common?
Options: A: blue, B: smooth, C: flexible, D: nan
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance relation reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/741.jpg'}",741,c,C,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
745,745,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/745.jpg'}",745,B,B,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
756,756,"Where is the woman holding her belly in the image?
Options: A: With both hands, B: With her right hand, C: With her left hand, D: She's not holding her belly
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/756.jpg'}",756,a,A,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
762,762,"In the picture, which direction is the baby facing?
Options: A: left, B: right, C: up, D: down
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/762.jpg'}",762,a,A,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
764,764,"What type of vegetation is visible in the image?
Options: A: Trees only, B: A mix of trees and bushes, C: Bushes only, D: Grass
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/764.jpg'}",764,B,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
770,770,"Approximately what proportion of the picture is occupied by the bus in the image?
Options: A: 0.8, B: 1, C: 0.6, D: 0.3
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/770.jpg'}",770,c,C,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
794,794,"What will happen next?
Options: A: the person is gonna fall off the ladder, B: the person is gonna stand still on the ladder, C: someone is gonna come and hold the ladder, D: both A,B, and C
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/794.jpg'}",794,b,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
812,812,"Is there a teddy bear in the image?
Options: A: Can't tell, B: No, C: Yes, D: Maybe
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/812.jpg'}",812,B,B,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
834,834,"What is the referee doing in the image?
Options: A: Blowing the whistle, B: Talking to the players, C: Watching the match from the sideline, D: Scoring the goal
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/834.jpg'}",834,C,C,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
844,844,"Which of the following objects has the highest density in the image?
Options: A: Palm trees, B: Trees, C: Sand, D: Dead grass
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/844.jpg'}",844,a,A,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
860,860,"In the diagram shown, which organism consumes small fish as food?
Options: A: mahi mahi, B: large shark, C: zooplankton, D: mackerel
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,logical reasoning,diagram reasoning,"{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/860.jpg'}",860,B,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
868,868,"Which can be the associated text with this image posted on twitter
Options: A: if anyone has super mario maker 2, make sure to stop by my account and play a few of my levels. most of these levels are from 4-1 years ago, tho, i do have a super world in the works!, B: 2017年10月27日発売のNintendo Switchソフト『スーパーマリオ オデッセイ』の公式アカウントです。3Dマリオ最新作『スーパーマリオ オデッセイ』に関するゲーム情報やお知らせをディレクターの元倉がお伝えします。 ※ご質問・お問い合わせにはお答えしておりませんのでご容赦ください。, C: happy tears of the kingdom day!! #kirby #zelda, D: See You In July - Kirby Gamble Galaxy Stories #Kirby #Nintendo #Gamedev #GameDesign #カービィ #星のカービィ #Fangame #Fanart #IndieDev #GameMaker #gamedevelopment #Fanart
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/868.jpg'}",868,a,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
887,887,"What's the profession of the people in this picture?
Options: A: trainer, B: chemist, C: musician, D: pianist
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/887.jpg'}",887,C,C,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
889,889,"Based on the lighting, what time of day does it appear to be in the image?
Options: A: Late afternoon, B: Morning, C: Evening, D: Night
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/889.jpg'}",889,b,B,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
890,890,"What is the intended outcome in this image?
Options: A: She will lose leg muscle, B: She will maintain her current leg muscle size, C: She will grow her leg muscle, D: She will undergo surgery to reduce leg muscle
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/890.jpg'}",890,b,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
928,928,"Which continent is highlighted?
Options: A: Europe, B: South America, C: Antarctica, D: Africa
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/928.jpg'}",928,a,A,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
934,934,"What is the name of the colony shown?
Options: A: Maine, B: Rhode Island, C: New York, D: Virginia
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/934.jpg'}",934,a,A,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
936,936,"Which of these cities is marked on the map?
Options: A: Miami, B: Atlanta, C: Nashville, D: Oklahoma City
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/936.jpg'}",936,d,D,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
938,938,"Is the man wearing a hat?
Options: A: There is a design on his head, but no hat, B: No, C: Can't be determined, D: Yes
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/938.jpg'}",938,B,B,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
947,947,"Which country is highlighted?
Options: A: Saint Lucia, B: Jamaica, C: Haiti, D: Cuba
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/947.jpg'}",947,d,D,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
949,949,"Which month has the lowest average precipitation in London?
Options: A: July, B: February, C: November, D: nan
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/949.jpg'}",949,a,A,100.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
961,961,"What is the name of the colony shown?
Options: A: New York, B: Connecticut, C: New Hampshire, D: Massachusetts
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/961.jpg'}",961,D,D,0.0,llava-v1.6-mistral-7b-hf_SFT_vqa_15_blind_inst,,,,,,,,,,,,,,,,,
