,core_attributes,spurious_attributes,spurious_correlation_type,question,choices,answer,image,answer_type,qid
273,"['flat edge', 'handle', 'open scoop']","['red color', 'bathroom', 'toilet', 'tile floor', 'hand held']","['Colorization', 'Co-occurring Objects']",Which feature best indicates the identity of the red object held in the hand?,"['A. The bathroom', 'B. The tile floor', 'C. The red color', ""D. The object's flat edge""]",D,000977.png,choice,s977
274,"['seat', 'backrest', 'armrests', 'plastic structure']","['clothes', 'pliers', 'glasses', 'spray bottle', 'windowsill']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object that has clothes and tools placed on it?,"[""A. The object's armrests"", 'B. The clothes', 'C. The spray bottle', 'D. The windowsill']",A,001087.png,choice,s1087
275,"['denim fabric', 'pant legs', 'pockets']","['hanging', 'bathroom', 'drying', 'other clothes', 'orange bucket']","['Background', 'Orientation']",Which feature best indicates the identity of the object hanging in the bathroom?,"['A. The drying context', 'B. The orange bucket', 'C. The bathroom environment', ""D. The object's pant legs""]",D,001621.png,choice,s1621
276,"['soft', 'rectangular shape', 'large size']","['bathroom', 'on counter', 'soap', 'tissue box', 'mirror']","['Background', 'Orientation']",Which feature best indicates the identity of the object on the counter in the bathroom?,"[""A. The object's large size"", 'B. The mirror', 'C. The soap', 'D. The tissue box']",A,000536.png,choice,s536
277,"['lens', 'USB cable', 'clipping mount']","['hand holding', 'shadow on wall', 'desk items', 'mounting arm']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object being held?,"['A. The hand holding it', 'B. The shadow on the wall', 'C. The desk items', 'D. The lens']",D,001228.png,choice,s1228
278,"['jar', 'fruit label', 'red content']","['leather couch', 'armrest', 'booklet', 'square shape']","['Background', 'Shape']",Which feature best indicates the identity of the object that is placed on the armrest?,"['A. The leather couch', 'B. The booklet', ""C. The object's fruit label"", 'D. The square shape']",C,001872.png,choice,s1872
279,"['landform', 'elevation', 'coastal setting']","['blurred perspective', 'water', 'distant shapes']","['Background', 'Perspective and Angle']",Which feature best indicates the identity of the object at the blurred distance?,"['A. The water', 'B. The distant shapes', 'C. The aquatic setting', 'D. The landform']",D,002130.png,choice,s2130
280,"['clasp', 'small size', 'metallic', 'circular shape']","['circular shape', 'metallic', 'single item', 'black background']","['Shape', 'Background']",Which feature best indicates the identity of the metallic object on the black background?,"['A. The absence of context', ""B. The object's clasp"", 'C. The black background', ""D. The object's circular shape""]",B,000297.png,choice,s297
281,"['small package', 'snack size', 'individual pieces']","['red box', 'text on box', 'near sink', 'rectangular shape', 'plug cord']","['Background', 'Colorization']",Which feature best indicates the identity of the object in the red box near the sink?,"['A. The snack size pieces', 'B. The plug cord', 'C. The rectangular shape', 'D. The text on the box']",A,000038.png,choice,s38
282,"['tight fit', 'stretchable fabric', 'long length']","['marble floor', 'folded shape', 'nearby colorful object']","['Background', 'Shape']",Which feature best indicates the identity of the object folded on the marble floor?,"['A. The marble floor', 'B. The nearby colorful object', 'C. The folded shape', ""D. The object's long length""]",D,001877.png,choice,s1877
283,"['slender', 'abrasive surface', 'small size', 'handle', 'pointed tip']","['metallic part', 'handle', 'hand holding', 'wooden floor', 'nearby magazine']","['Shape', 'Background']",Which feature best indicates the identity of the object being held in the hand?,"['A. The handle', 'B. The wooden floor', ""C. The object's abrasive surface"", 'D. The metallic part']",C,000409.png,choice,s409
284,"['flat surface', 'four legs', 'low height', 'rectangular shape']","['tipped over', 'tools', 'clothing', 'bright light']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is tipped over in the cluttered room?,"['A. The tools', 'B. The clothing', ""C. The object's flat surface"", 'D. The bright light']",C,000300.png,choice,s300
285,"['sleeves', 'neck hole', 'fabric', 'logo', 'stripes']","['folded', 'hand holding', 'wooden floor', 'nearby furniture']","['Orientation', 'Background']",Which feature best indicates the identity of the object that is being held in the hand?,"['A. The wooden floor', 'B. The nearby furniture', 'C. The hand holding', ""D. The object's sleeves""]",D,000873.png,choice,s873
286,"['small size', 'distinctive fur', 'on a leash']","['motion blur', 'human figure', 'urban setting']","['Background', 'Orientation']",Which feature best indicates the identity of the small blurry object next to the human?,"['A. The motion blur', ""B. The human's clothing"", 'C. The urban setting', ""D. The object's small size""]",D,002072.png,choice,s2072
287,"['flat surface', 'circular shape', 'handle on top', 'metallic texture']","['text', 'inverted image', 'illustrative style', 'black and white']","['Background', 'Orientation']",Which feature best indicates the identity of the object with a handle on top?,"['A. The illustrative style', 'B. The inverted image', ""C. The object's flat surface"", 'D. The text']",C,002160.png,choice,s2160
288,"['metallic', 'small', 'pointed ends', 'held by hand']","['glue container', 'deodorant', 'shampoo bottle', 'cream jar', 'bathroom setting']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the small metallic object held by hand?,"['A. The deodorant', 'B. The glue container', 'C. The shampoo bottle', 'D. The pointed ends']",D,000542.png,choice,s542
289,"['step shape', 'plastic material', 'small size']","['clothes on bed', 'cluttered room', 'horizontal orientation', 'carpet floor', 'bed nearby']","['Background', 'Orientation']",Which feature best indicates the identity of the small object near the bed?,"['A. The clothes on the bed', ""B. The object's step shape"", 'C. The carpet floor', 'D. The bed nearby']",B,001429.png,choice,s1429
290,"['dial', 'number mechanism', 'locking mechanism']","['zipper', 'handle', 'luggage shape', 'purple color', 'floor']","['Co-occurring Objects', 'Shape']",Which feature best indicates the identity of the object attached to the purple case?,"['A. The purple color', 'B. The dial', 'C. The zipper', 'D. The handle']",B,000281.png,choice,s281
291,"['bristles', 'long handle', 'cleaning tool']","['green lamp', 'sunflower tablecloth', 'paper towel', 'pack of cigarettes', 'pencil']","['Co-occurring Objects', 'Orientation']",Which feature best indicates the identity of the object being held?,"['A. The sunflower tablecloth', 'B. The paper towel', ""C. The object's bristles"", 'D. The green lamp']",C,001000.png,choice,s1000
292,"['elastic loop', 'small size', 'circular shape']","['held by hand', 'background text', 'shadows']","['Co-occurring Objects', 'Shape']",Which feature best indicates the identity of the small circular object held by the hand?,"['A. Background text', 'B. Shadows cast', 'C. Hand holding it', 'D. Its elastic loop']",D,001513.png,choice,s1513
293,"['collar', 'buttons', 'long sleeves']","['flattened', 'drying rack', 'near laundry', 'poster', 'trash bin']","['Background', 'Orientation']",Which feature best indicates the identity of the flattened object on the drying rack?,"['A. The drying rack', ""B. The object's collar and buttons"", 'C. The trash bin', 'D. The poster on the wall']",B,001167.png,choice,s1167
294,"['threads', 'needles', 'buttons', 'safety pins', 'container']","['bathtub', 'tiles', 'bathroom setting']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object placed on the bathtub?,"['A. The tiles', 'B. The threads and needles', 'C. The bathroom setting', 'D. The bathtub']",B,000646.png,choice,s646
295,"['bird shape', 'beak', 'feathers']","['motion blur', 'red color', 'green leaves', 'sky background']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object with motion blur among the green leaves and sky background?,"['A. Green leaves', 'B. Bird shape', 'C. Sky background', 'D. Red color']",B,002231.png,choice,s2231
296,"['compartments', 'labels', 'plastic material']","['kitchen counter', 'near coffee mug', 'near paper towel', 'held by hand', 'near sink']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object near the coffee mug?,"['A. The coffee mug', ""B. The object's compartments"", 'C. The paper towel', 'D. The kitchen counter']",B,001239.png,choice,s1239
297,"['large size', 'plastic material', 'flexible', 'durable']","['folded', 'garage door', 'concrete floor', 'shadow']","['Background', 'Shape']",Which feature best indicates the identity of the object that is folded in the garage?,"['A. The concrete floor', 'B. The shadow', ""C. The object's plastic material"", 'D. The garage door']",C,000032.png,choice,s32
298,"['waterproof material', 'long length', 'hood', 'sleeves']","['draped on chair', 'indoor setting', 'nearby furniture', 'shadows']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is draped on the chair?,"['A. The indoor setting', ""B. The object's long length"", 'C. The nearby furniture', 'D. Shadows']",B,001226.png,choice,s1226
299,"['flat', 'rectangular', 'thin', 'paper material']","['red stool', 'multicolored cloth', 'electronic device', 'corded object', 'flower pattern']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on the red stool?,"['A. The red stool', 'B. The multicolored cloth', ""C. The object's flat shape"", 'D. The flower pattern']",C,000424.png,choice,s424
300,"['bristles', 'handle', 'flat surface']","['drying rack', 'toilet', 'soap dispenser', 'sink']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on the sink?,"['A. The toilet', 'B. The bristles', 'C. The drying rack', 'D. The soap dispenser']",B,000550.png,choice,s550
301,"['circular structure', 'handle', 'flat surface']","['upside-down', 'text', 'circular shape', 'illustration', 'decorative style']","['Orientation', 'Background']",Which feature best indicates the identity of the upside-down object with text?,"['A. The text', 'B. Illustration style', 'C. Circular shape', 'D. The handle']",D,002361.png,choice,s2361
302,"['indentations for eggs', 'rectangular shape', 'holds eggs', 'egg compartments']","['textured background', 'hand holding object', 'lace pattern', 'dark setting']","['Background', 'Perspective and Angle']",Which feature best indicates the identity of the object that is being held over a lace pattern?,"['A. The dark setting', 'B. The hand holding it', 'C. The lace pattern', ""D. The object's indentations for eggs""]",D,000472.png,choice,s472
303,"['rectangular shape', 'printed image', 'flat structure']","['pill bottles', 'bathroom items', 'granite countertop', 'mirror']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object being held in the hand?,"['A. Pill bottles', 'B. Bathroom items', 'C. Granite countertop', 'D. Printed image']",D,000438.png,choice,s438
304,"['handle', 'tip', 'cylindrical', 'wooden']","['textured surface', 'elongated shape', 'carpet', 'circular object']","['Background', 'Shape']",Which feature best indicates the identity of the object with an elongated shape on a textured surface?,"['A. The carpet', 'B. The textured surface', ""C. The object's handle"", 'D. The circular object']",C,002370.png,choice,s2370
305,"['contents', 'label', 'fruit imagery']","['bottle shape', 'couch', 'dark lighting', 'background']","['Shape', 'Background']",Which feature best indicates the identity of the object on the couch?,"['A. The couch', 'B. Dark lighting', ""C. The object's label"", 'D. The bottle shape']",C,001115.png,choice,s1115
306,"['table surface', 'supporting legs', 'solid structure']","['bath mat', 'towels', 'bathroom tiles', 'toilet', 'bathtub']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object placed in the bathroom?,"[""A. The object's table surface"", 'B. The towels', 'C. The bathtub', 'D. The bath mat']",A,001154.png,choice,s1154
307,"['ergonomic shape', 'click buttons', 'handheld size']","['carpet background', 'hand holding', 'black color']","['Background', 'Shape']",Which feature best indicates the identity of the object being held on the carpet?,"['A. The carpet background', ""B. The object's black color"", ""C. The object's ergonomic shape"", 'D. The hand holding the object']",C,000862.png,choice,s862
308,"['metal base', 'cord', 'handle']","['corded', 'lying flat', 'shadow', 'wooden surface']","['Orientation', 'Background']",Which feature best indicates the identity of the object that is lying flat on the wooden surface?,"[""A. The object's metal base"", 'B. The cord', 'C. The shadow', 'D. Wooden surface']",A,001404.png,choice,s1404
309,"['structured shape', 'specific design', 'zipper', 'handle', 'flat base']","['bag-like appearance', 'straps', 'fabric material', 'colorful design', 'resting on a seat']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object with a colorful design resting on a seat?,"['A. Straps', 'B. Nearby seat cover', 'C. Fabric material', 'D. Structured shape']",D,000833.png,choice,s833
310,"['digital display', 'slender probe', 'plastic body', 'pointed tip']","['kitchen setting', 'elongated form', 'metallic tip', 'held by hand', 'blue color']","['Background', 'Shape']",Which feature best indicates the identity of the object held in the hand?,"[""A. The object's elongated form"", 'B. The kitchen setting', 'C. The digital display', 'D. The metallic tip']",C,001081.png,choice,s1081
311,"['compact body', 'pointy ears', 'short muzzle', 'sturdy legs']","['illustrated style', 'on a mat', 'shadows', 'abstract lines']","['Background', 'Orientation']",Which feature best indicates the identity of the object illustrated on the mat?,"[""A. The object's pointy ears"", 'B. The shadows', 'C. The abstract lines', 'D. The mat']",A,002070.png,choice,s2070
312,"['slender body', 'green color', 'scales', 'elongated shape']","['blurry image', 'aquatic-like appearance', 'distorted shape', 'dark background']","['Background', 'Perspective and Angle']",Which feature best indicates the identity of the object with an elongated shape in the blurry image?,"['A. The dark background', 'B. The distorted shape', ""C. The object's green color"", 'D. The aquatic-like appearance']",C,002257.png,choice,s2257
313,"['cylindrical shape', 'open top', 'plastic material']","['nearby clothes', 'box', 'bed', 'curtain']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object near the bed?,"['A. The box', 'B. The nearby clothes', ""C. The object's cylindrical shape"", 'D. The curtain']",C,001028.png,choice,s1028
314,"['rugged design', 'laces', 'thick sole']","['indoor bathroom', 'carpet', 'toilet', 'tiles']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object that is being held above the carpet?,"[""A. The object's rugged design"", 'B. The toilet', 'C. The indoor tiles', 'D. The carpet']",A,000208.png,choice,s208
315,"['flat round blade', 'long handle', 'metallic surface']","['sack', 'ground texture', 'sideways orientation', 'feet', 'stone slab']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying sideways on the stone slab?,"[""A. The object's flat round blade"", 'B. The feet', 'C. The sack', 'D. The ground texture']",A,000378.png,choice,s378
316,"['wet fur', 'natural environment', 'dog-like appearance']","['leash', 'water reflections', 'body shape']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object in the natural environment near the water?,"['A. Water reflections', 'B. Wet fur', 'C. Leash', 'D. Body shape']",B,002197.png,choice,s2197
317,"['shape', 'straps', 'sleeveless', 'single piece']","['yellow hanger', 'hanging', 'door', 'wall']","['Background', 'Orientation']",Which feature best indicates the identity of the object hanging on the door?,"['A. The door', 'B. The wall', 'C. The yellow hanger', ""D. The object's shape and straps""]",D,001133.png,choice,s1133
318,"['labeling', 'cap', 'plastic material', 'tubular shape']","['lying down', 'wooden floor']","['Orientation', 'Background']",Which feature best indicates the identity of the object lying down on the wooden floor?,"['A. The wooden floor', ""B. The object's position"", ""C. The object's cap"", ""D. The object's surroundings""]",C,000180.png,choice,s180
319,"['handle', 'folded canopy', 'metal ribs']","['horizontal placement', 'blue plastic stool', 'nearby red object', 'shadow']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is horizontally placed near the blue plastic stool?,"[""A. The object's handle"", 'B. The nearby red object', 'C. The shadow on the floor', 'D. The blue plastic stool']",A,000014.png,choice,s14
320,"['compact size', 'sturdy structure', 'handle', 'zipper', 'black color']","['round item inside', 'white background', 'purple lid', 'bag-like shape', 'handle']","['Co-occurring Objects', 'Shape']",Which feature best indicates the identity of the object with a handle and a round item inside?,"['A. The purple lid', 'B. The compact size and sturdy structure', 'C. The white background', 'D. The bag-like shape']",B,001366.png,choice,s1366
321,"['rectangular shape', 'soft texture', 'cushioning']","['complex pattern', 'floor placement', 'nearby foot', 'wrinkle']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object that is on the floor with a complex pattern?,"['A. The floor placement', 'B. The nearby foot', ""C. The object's rectangular shape"", 'D. The wrinkle']",C,000535.png,choice,s535
322,"['flat', 'round shape', 'solid structure']","['hand holding', 'bathroom setting', 'sink', 'fingernails']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object that is being held near the sink?,"['A. The hand holding it', 'B. The sink', ""C. The object's flat, round shape"", 'D. The bathroom setting']",C,001072.png,choice,s1072
323,"['delicate wings', 'segmented body', 'thin legs', 'large eyes']","['linear body', 'wing patterns', 'position in center', 'thin and long body']","['Orientation', 'Shape']",Which feature best indicates the identity of the object with a linear and segmented body in the center?,"['A. Delicate wings', 'B. Fluffy fur', 'C. Boxer stance', 'D. Wedding suit']",A,002262.png,choice,s2262
324,"['rectangular shape', 'visible text', 'paper pages']","['paint can', 'tools', 'on bed', 'lighting']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object partially covering the paint can?,"[""A. The object's visible text"", 'B. The tools', 'C. The paint can', 'D. The bed']",A,001809.png,choice,s1809
325,"['small size', 'dual compartments', 'lid', 'rounded shape', 'flat base']","['cylindrical shape', 'dual compartments', 'plastic material', 'on a table', 'shadow']","['Shape', 'Background']",Which feature best indicates the identity of the object with dual compartments on the table?,"['A. The shadow', 'B. The cylindrical shape', 'C. Its small size', 'D. The plastic material']",C,001751.png,choice,s1751
326,"['thin pages', 'printed content', 'soft cover', 'flat']","['wooden floor', 'flat orientation', 'visible toes', 'shiny texture']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying flat on the floor?,"[""A. The object's thin pages"", 'B. Visible toes', 'C. The shiny texture', 'D. The wooden floor']",A,000039.png,choice,s39
327,"['stick shape', 'held by hand', 'used for drumming']","['blurry background', 'bright colors', 'other instruments']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object being used to hit the drums?,"['A. The colorful background', 'B. The presence of other instruments', 'C. The stick shape', 'D. The bright colors']",C,002255.png,choice,s2255
328,"['small bird', 'dark body', 'white underparts', 'distinctive beak']","['perched on wire', 'hazy background', 'blurred image', 'overcast sky']","['Background', 'Perspective and Angle']",Which feature best indicates the identity of the object perched on the wire?,"[""A. The object's small bird structure"", 'B. The wiring', 'C. The overcast sky', 'D. The hazy background']",A,002178.png,choice,s2178
329,"['curved shape', 'emery surface', 'small size']","['patterned bed sheet', 'fabric textures', 'floral design', 'colorful patterns']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object that is on the bed sheet?,"['A. The floral design', 'B. The fabric textures', ""C. The object's curved shape"", 'D. The colorful patterns']",C,000610.png,choice,s610
330,"['large screen', 'rectangular shape', 'border frame']","['nearby items', 'dark reflection', 'pink bag', 'stacked books', 'angled view']","['Background', 'Lighting and Shadows']",Which feature best indicates the identity of the object with a dark reflection on its screen?,"[""A. The object's large screen"", 'B. The angled view', 'C. The pink bag', 'D. The stacked books']",A,000147.png,choice,s147
331,"['unique shape', 'detailed design', 'solid structure']","['vertical orientation', 'flat surface', 'circular mark']","['Background', 'Orientation']",Which feature best indicates the identity of the object standing vertically on the flat surface?,"[""A. The object's unique shape"", 'B. The flat surface', 'C. The circular mark', 'D. The background context']",A,001512.png,choice,s1512
332,"['elastic waistband', 'nylon fabric', 'short length']","['orange color', 'wooden floor', 'folded']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is folded on the floor?,"['A. The unusual arrangement', ""B. The object's elastic waistband"", 'C. The orange color', 'D. The wooden floor']",B,000606.png,choice,s606
333,"['handle', 'spout', 'curved body']","['near sink', 'near soap bottles', 'tipped over']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is tipped over near the sink?,"['A. The sink', 'B. The countertop', ""C. The object's handle"", 'D. The soap bottles']",C,001760.png,choice,s1760
334,"['soap texture', 'soap dish', 'oval shape', 'solid state']","['hair brush', 'marble surface', 'polka dot fabric', 'oval shape', 'pink container']","['Co-occurring Objects', 'Shape']",Which feature best indicates the identity of the object in the pink container?,"['A. The polka dot fabric', 'B. The oval shape', 'C. The marble surface', 'D. The hair brush']",B,000522.png,choice,s522
335,"['adjustable jaws', 'handle', 'solid metal', 'tool']","['nearby containers', 'dark background', 'cloth', 'tabletop']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on the dark tabletop?,"[""A. The object's adjustable jaws"", 'B. The nearby containers', 'C. The cloth', 'D. The dark background']",A,000171.png,choice,s171
336,"['compartment structure', 'rectangular shape', 'small size']","['nearby blanket', 'soft surface', 'home setting', 'feet visible']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on the couch?,"['A. The nearby blanket', ""B. The object's compartment structure"", 'C. The soft surface', 'D. The feet visible']",B,001262.png,choice,s1262
337,"['blade', 'handle', 'ergonomic design']","['purple color', 'near papers', 'near black object', 'on dirty surface']","['Colorization', 'Co-occurring Objects']",Which feature best indicates the identity of the purple object near papers?,"['A. The dirty surface', 'B. The purple color', 'C. The blade', 'D. The black object']",C,001493.png,choice,s1493
338,"['round base', 'long handle', 'flat bottom']","['bath mat', 'bathtub', 'curtain', 'bathroom setting']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is lying on the bathroom floor?,"['A. The bathtub', ""B. The object's round base"", 'C. The bath mat', 'D. The bathroom curtain']",B,000163.png,choice,s163
339,"['flat surface', 'small size', 'transparent', 'octagonal shape', 'held by hand']","['octagonal shape', 'lighting', 'hand-held', 'floor tiles', 'shiny surface']","['Shape', 'Lighting and Shadows']",Which feature best indicates the identity of the object being held over the floor?,"[""A. The object's flat surface"", 'B. The lighting', 'C. The floor tiles', 'D. The octagonal shape']",A,001465.png,choice,s1465
340,"['handle', 'cylindrical shape', 'open top']","['nightstand', 'alarm clock', 'boxed item', 'remote control', 'coffee cup']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object near the alarm clock and remote control?,"['A. The boxed item', ""B. The object's handle"", 'C. The alarm clock', 'D. The nightstand']",B,000860.png,choice,s860
341,"['multiple pockets', 'zipper closure', 'compact size', 'handles', 'solid structure']","['compact size', 'zippers', 'room setting', 'nearby towel', 'lighting']","['Background', 'Shape']","Which feature best indicates the identity of the object being held, considering it is compact and has zippers?","['A. The lighting', 'B. The room setting', 'C. The zippers', 'D. The nearby towel']",C,001022.png,choice,s1022
342,"['long handle', 'large blade', 'solid structure', 'wooden handle', 'metal blade']","['upright orientation', 'nearby towel', 'bathroom setting', 'sink', 'cabinet']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is upright in the bathroom?,"['A. The nearby towel', 'B. The cabinet', 'C. The bathroom sink', ""D. The object's long handle""]",D,000421.png,choice,s421
343,"['cap', 'label', 'liquid inside', 'transparent bottle']","['hand holding bottle', 'orange color', 'rectangular shape', 'indoor lighting', 'wooden floor']","['Co-occurring Objects', 'Colorization']",Which feature best indicates the identity of the object being held by the person?,"['A. The wooden floor', 'B. The rectangular shape', 'C. The orange color', 'D. The cap']",D,001448.png,choice,s1448
344,"['loaf shape', 'sliced parts', 'solid texture']","['mushroom shapes', 'textured surface', 'unusual orientation', 'vegetable on top']","['Co-occurring Objects', 'Orientation']",Which feature best indicates the identity of the object with a textured surface and sliced parts?,"['A. The mushrooms', 'B. The unusual orientation', 'C. The vegetable on top', ""D. The object's loaf shape""]",D,002170.png,choice,s2170
345,"['product label', 'handle', 'nozzle', 'bottle shape']","['sideways position', 'wooden backdrop', 'patterned floor']","['Orientation', 'Background']",Which feature best indicates the identity of the container that is sideways on the floor?,"['A. The product label', 'B. The wooden backdrop', 'C. The handle', 'D. The patterned floor']",A,000633.png,choice,s633
346,"['sharp edge', 'metal material', 'flat shape']","['nearby glasses', 'pointing hand', 'kitchen counter', 'horizontal position']","['Background', 'Orientation']",Which feature best indicates the identity of the object on the kitchen counter?,"[""A. The object's sharp edge"", 'B. The nearby glasses', 'C. The kitchen counter', 'D. The pointing hand']",A,000969.png,choice,s969
347,"['chuck', 'battery', 'ergonomic design']","['compact size', 'black and red color', 'shape']","['Relative Size', 'Colorization']",Which feature best indicates the identity of the object with a compact size and black and red color?,"[""A. The object's shape"", ""B. The object's chuck"", 'C. The floor pattern', ""D. The object's color""]",B,000665.png,choice,s665
348,"['cylindrical shape', 'metallic material', 'label indicating paint']","['generic container shape', 'similar size to household items', 'position on the floor']","['Shape', 'Relative Size']",Which feature best indicates the identity of the cylindrical object on the floor?,"['A. The color of the floor', 'B. The glossy label', 'C. The metallic material', ""D. The object's size""]",B,000725.png,choice,s725
349,"['small', 'rectangular', 'packaging', 'Dove label']","['colorful pattern', 'checkerboard', 'background', 'rectangle shape']","['Background', 'Shape']",What feature might lead the model to misclassify the object on the checkerboard background?,"['A. The small size', 'B. The rectangular shape', 'C. The background pattern', 'D. The Dove label']",C,001688.png,choice,s1688
350,"['rectangular shape', 'cardboard material', 'folded edges', 'solid structure']","['dim lighting', 'lying flat', 'near green wall', 'shadow']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying flat near the green wall?,"['A. The shadow', 'B. The dim lighting', 'C. The green wall', ""D. The object's folded edges""]",D,000101.png,choice,s101
351,"['cover page', 'text', 'images']","['cushion', 'electrical cord', 'floor', 'desk']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object placed on the cushion?,"['A. The electrical cord', 'B. The cushion', 'C. The desk', ""D. The object's cover page""]",D,000734.png,choice,s734
352,"['checkered pattern', 'flat surface', 'square shape']","['toilet', 'shampoo bottle', 'bathroom', 'clothing', 'tiled floor']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object with a checkered pattern in the bathroom?,"['A. The shampoo bottle', 'B. The checkered pattern', 'C. The toilet', 'D. The tiled floor']",B,001360.png,choice,s1360
353,"['rectangular shape', 'holes on top', 'yellow label']","['similar containers', 'marble countertop', 'kitchen setting']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object that is rectangular with a yellow label?,"['A. Holes on top', 'B. Similar containers', 'C. Marble countertop', 'D. Kitchen setting']",A,001602.png,choice,s1602
354,"['camera lens', 'stand', 'mount', 'spherical body']","['cord', 'orange surface', 'nearby objects']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object with a cord on the orange surface?,"['A. The cord', ""B. The object's camera lens"", 'C. Nearby objects', 'D. The orange surface']",B,001906.png,choice,s1906
355,"['seating surface', 'backrest', 'legs', 'solid structure']","['tipped over', 'bath towel', 'bathroom', 'curtain']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is tipped over near the bath towel?,"['A. The bathroom curtain', ""B. The object's legs"", 'C. The bathroom setting', 'D. The bath towel']",B,000843.png,choice,s843
356,"['hound shape', 'tracking posture', 'hound markings', 'ears', 'tail']","['tree', 'climbing', 'multiple animals', 'bark texture', 'ground vegetation']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the animals climbing the tree?,"['A. The bark texture', ""B. The animals' hound shape"", 'C. The tree', 'D. Ground vegetation']",B,002166.png,choice,s2166
357,"['spacious interior', 'handle', 'fabric material']","['drawstrings', 'wrinkled fabric', 'gray floor']","['Co-occurring Objects', 'Texture and Noise']",Which feature best indicates the identity of the object being held in the hand?,"['A. The wrinkled fabric', 'B. The drawstrings', 'C. The gray floor', ""D. The object's spacious interior""]",D,001371.png,choice,s1371
358,"['texture', 'food context', 'dairy product']","['round shape', 'light color', 'on dark surface']","['Shape', 'Colorization']","Which feature best indicates the identity of the round, light-colored object on the dark surface?","[""A. The object's texture"", ""B. The object's round shape"", 'C. The dark surface', ""D. The object's color""]",A,001769.png,choice,s1769
359,"['game box', 'grid pattern', 'warning label']","['kitchen counter', 'coffee press', 'toaster', 'honey jar']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the rectangular object on the kitchen counter?,"['A. The toaster', 'B. The honey jar', 'C. The coffee press', 'D. The grid pattern']",D,001505.png,choice,s1505
360,"['metallic', 'flat', 'small size']","['green can', 'dark setting', 'wooden surface']","['Co-occurring Objects', 'Lighting and Shadows']",Which feature best indicates the identity of the object next to the green can?,"['A. The green can', 'B. The wooden surface', 'C. The dark setting', 'D. The small metallic object']",D,001660.png,choice,s1660
361,"['printed text', 'paper material', 'rectangular shape', 'pages', 'thin']","['near sink', 'held in hand', 'bathroom items', 'cleaning products', 'mirrored surface']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held near the sink?,"[""A. The object's printed text"", 'B. The cleaning products', 'C. The sink stopper', 'D. The mirrored surface']",A,000508.png,choice,s508
362,"['seat', 'backrest', 'four legs']","['standing lamp', 'window', 'shadow', 'carpet']","['Co-occurring Objects', 'Orientation']",Which feature best indicates the identity of the object near the window?,"['A. The shadow', 'B. The carpet', 'C. The standing lamp', ""D. The object's backrest""]",D,000546.png,choice,s546
363,"['muscular build', 'short tail', 'upright ears', 'four legs', 'distinct snout']","['simple lines', 'lack of detail', 'abstract shape', 'minimal shading', 'outline only']","['Texture and Noise', 'Orientation']",Which feature best indicates the identity of the outlined object with minimal detail?,"['A. Simple lines', 'B. Lack of detail', 'C. Abstract shape', 'D. Upright ears']",D,002346.png,choice,s2346
